名次,电影名称,日期,总场次,废场,人次,上座率,票价
318,美国队长3：英雄内战,20160514,29318,0,123.74万,25.83%,46.6
319,绣春刀：修罗战场,20170721,39610,7798,184万,47.33%,31.3
320,神偷奶爸3,20170713,37969,6375,166.93万,59.19%,34.5
321,羞羞的铁拳,20170930,33375,32514,171.2万,36.02%,33.7
322,中国机长,20191004,31941,88856,140.92万,33.41%,40.8
323,神奇女侠,20170608,42446,15315,161.42万,41.6%,35.6
324,唐人街探案2,20180224,28845,40331,145.72万,36.86%,39.4
325,碟中谍5：神秘国度,20150913,25669,1872,134.93万,34.01%,42.3
326,侏罗纪世界,20150612,24553,1863,120.61万,28.33%,47.2
327,少年的你,20191027,45799,107326,145.93万,21.61%,39
328,X战警：天启,20160605,32120,4250,121.76万,22.5%,46.7
329,绝地逃亡,20160721,30826,4147,131.08万,24.46%,43.4
330,银河护卫队2,20170506,42789,35856,140.07万,31.06%,40.6
331,荒野猎人,20160319,23349,1570,142.52万,36.07%,39.9
332,哪吒之魔童降世,20190802,41365,77413,148.75万,24.1%,38.2
333,飞驰人生,20190207,23923,55230,119.98万,41.45%,47.3
334,我和我的祖国,20191005,31684,91907,139.62万,31.54%,40.6
335,羞羞的铁拳,20171005,34417,41388,163.41万,29.67%,34.6
336,夏洛特烦恼,20151010,24328,1225,142.87万,34.53%,39.6
337,蜘蛛侠：英雄归来,20170910,42769,53481,153.28万,23.14%,36.7
338,港囧,20150930,22995,2002,140.31万,37.65%,40.1
339,哥斯拉2：怪兽之王,20190601,42888,78943,146.6万,23.04%,38.4
340,邪不压正,20180713,38591,57826,151.87万,27.83%,37
